airport_key,airport,airport_icao,latitude_x,longitude_x,timezone,city,country,continent,country_code,geoname_id,name,asciiname,alternatenames,admin1_code,admin2_code,latitude_y,longitude_y,haversine,state,county
54,Albany,YABA,-34.944996,117.804,Australia/Perth,Albany,Australia,Oceania,AU,2078285,Albany Aerodrome,Albany Aerodrome,"ALH,Harry Riggs Albany Regional Airport,YABA",8,50080.0,-34.94583,117.80806000000001,0.3814974975740806,,
55,Amata,YAMT,-26.766665999999997,132.03333999999998,Australia/Adelaide,Amata,Australia,Oceania,AU,7730823,Amata Airport,Amata Airport,"AMT,Amata Airport,YAMT",5.0,40250.0,-26.098879999999998,131.20383999999999,111.06435939611697,,
56,Ammaroo,YAMM,-21.74,135.24,Australia/Darwin,Ammaroo,Australia,Oceania,AU,7730824,Ammaroo Airport,Ammaroo Airport,"AMX,Ammaroo Airport,YAMM",3.0,70420.0,-21.737460000000002,135.2435,0.4587545214245367,,
57,Armidale,YARM,-30.532296999999996,151.61493000000002,Australia/Sydney,Armidale,Australia,Oceania,AU,7730238,Armidale Airport,Armidale Airport,"ARM,YARM",2.0,10130.0,-30.5281,151.61700000000002,0.5070539982669713,,
58,Ararat,YARA,-37.316666,143.0,Australia/Melbourne,Ararat,Australia,Oceania,AU,7668680,Ararat Airport,Ararat Airport,"ARY,YARA",7.0,20260.0,-37.3094,142.989,1.2645690190817431,,
59,Alice Springs,YBAS,-23.801389999999998,133.90338,Australia/Darwin,Alice Springs,Australia,Oceania,AU,6301291,Alice Springs Airport,Alice Springs Airport,"ASP,Aeroport dAlice Springs,Aeroport de Alice Springs,Aeropuerto de Alice Springs,Alice Springs Airport,Alis-Springs,Aéroport dAlice Springs,Aéroport de Alice Springs,Bandar Udara Alice Springs,Flughafen Alice Springs,Lapangan Terbang Alice Springs,Port lotniczy Alice Springs,YBAS,aelliseu seupeulingseu gonghang,ai li si quan ji chang,frwdgah alys aspryngz,Алис-Спрингс,Фурудгоҳи олес оспрингз,فرودگاه آلیس اسپرینگز,アリス・スプリングス空港,愛麗斯泉機場,앨리스 스프링스 공항",3.0,70200.0,-23.803639999999998,133.90038,0.3946496368501378,,
60,Augustus Downs,YAGD,-18.506945,139.88166999999999,Australia/Brisbane,Augustus Downs,Australia,Oceania,AU,7730834,Augustus Downs Airport,Augustus Downs Airport,"AUD,YAGD",4.0,32250.0,-18.515,139.87801000000002,0.9752789947799848,,
61,Aurukun Mission,YAUR,-13.166667000000002,142.25,Australia/Brisbane,Aurukun Mission,Australia,Oceania,AU,7668683,Aurukun Airport,Aurukun Airport,"AUU,Aeroport d'Aurukun,Aurukun Airport,Aéroport d'Aurukun,YAUR",4.0,30250.0,-13.3539,141.72099,60.92268649134231,,
62,Auvergne,YAUV,-15.65,130.01666,Australia/Darwin,Auvergne,Australia,Oceania,AU,7730836,Auvergne Airport,Auvergne Airport,"AVG,Auvergne Airport,YAUV",3.0,74550.0,-15.69,130.009,4.522777147960446,,
63,Avalon,YMAV,-38.02637,144.47308,Australia/Melbourne,Melbourne,Australia,Oceania,AU,6301308,Avalon Airport,Avalon Airport,"AVV,Avalon Airport,Avalon flygplats,YMAV",7.0,22750.0,-38.03944,144.46944,1.4878757687967368,,
64,Moorabbin,YMMB,-37.975834000000006,145.10222,Australia/Melbourne,Melbourne,Australia,Oceania,AU,6301316,Moorabbin Airport Aws,Moorabbin Airport Aws,"MBW,Moorabbin Airport,Moorabbin Harry Hawker Airport,YMMB",7.0,23430.0,-37.97583,145.10222,0.0004447803212781464,,
65,Essendon,YMEN,-37.736668,144.8975,Australia/Melbourne,Melbourne,Australia,Oceania,AU,6301311,Essendon Airport,Essendon Airport,"Aerodrom Esendon,Aeropuerto de Essendon,Ehssendon,Flughafen Essendon,Issendon,MEB,YMEN,ai sen deng ji chang,esendeun gonghang,frwdgah asndwn,Іссендон,Аеродром Есендон,Фурудгоҳи осндун,Эссендон,فرودگاه اسندون,埃森登機場,에센든 공항",7.0,25060.0,-37.72806,144.90194,1.033745226560866,,
66,Tullamarine,YMML,-37.669613,144.84978,Australia/Melbourne,Melbourne,Australia,Oceania,AU,6290242,Melbourne Airport,Melbourne Airport,"Aerodrom Melburn,Aeroport Melbourne-Tullamarine,Aeroporto de Melbourne,Aeroporto di Melbourne,Aeropuerto Internacional Tullamarine,Aéroport Melbourne-Tullamarine,Bandar Udara Internasional Melbourne,Flughafen Melbourne,Lapangan Terbang Antarabangsa Melbourne,MEL,Mel'burn,Melbourne lufthavn,Melbournen lentoasema,Melburno oro uostas,Port lotniczy Melbourne,San bay Melbourne,Sân bay Melbourne,Tullamarine Airport,YMML,frwdgah mlbwrn,melabarna vimanatala,melbeoleun gonghang,meruborun kong gang,mo er ben ji chang,mtar mlbwrn aldwly,tha xakas yan mel beirn,Аеродром Мелбурн,Мельбурн,Фурудгоҳи млбрн,נמל התעופה הבינלאומי מלבורן,فرودگاه ملبورن,مطار ملبورن الدولي,मेलबर्न विमानतळ,ท่าอากาศยานเมลเบิร์น,メルボルン空港,墨尔本机场。,墨爾本機場,멜버른 공항",7.0,23270.0,-37.67333,144.84333,0.7022102676499713,,
67,Austral Downs,YAUS,-20.5,137.75,Australia/Darwin,Austral Downs,Australia,Oceania,AU,7730838,Austral Downs Airport,Austral Downs Airport,"AWP,YAUS",3.0,70420.0,-20.493000000000002,137.766,1.8393060678061444,,
68,Aramac,YAMC,-22.958054999999998,145.2425,Australia/Brisbane,Aramac,Australia,Oceania,AU,7730839,Aramac Airport,Aramac Airport,"AXC,YAMC",4.0,30410.0,-22.9667,145.24200000000002,0.9626435938666056,,
69,Alexandria,YALX,-19.083332000000002,136.66666999999998,Australia/Darwin,Alexandria,Australia,Oceania,AU,7730840,Alexandria Homestead Airport,Alexandria Homestead Airport,"AXL,YALX",3.0,70420.0,-19.0602,136.71001,5.230778469277964,,
70,Connellan,YAYE,-25.190878,130.97658,Australia/Darwin,Ayers Rock,Australia,Oceania,AU,6301288,Ayers Rock Airport,Ayers Rock Airport,"AYQ,Aehroport Ehrs-Rok,Ayers Rock Airport,Connellan Airport,YAYE,Аэропорт Эрс-Рок",3.0,,-25.1891,130.97754,0.22004079252035239,,
71,Ayr,YAYR,-19.596666,147.32445,Australia/Brisbane,Ayr,Australia,Oceania,AU,7730845,Ayr Airport,Ayr Airport,"AYR,YAYR",4.0,31900.0,-19.5844,147.32899,1.4444627440152082,,
72,Barcaldine,YBAR,-23.559168,145.30194,Australia/Brisbane,Barcaldine,Australia,Oceania,AU,7730239,Barcaldine Airport,Barcaldine Airport,"BCI,YBAR",4.0,30410.0,-23.5653,145.30701000000002,0.8555432389519786,,
73,Bundaberg,YBUD,-24.898708,152.32187,Australia/Brisbane,Bundaberg,Australia,Oceania,AU,7668694,Bundaberg Airport,Bundaberg Airport,"BDB,YBUD",4.0,31820.0,-24.9039,152.319,0.6458266931187279,,
74,Badu Island,YBAU,-10.148655,142.17166,Australia/Brisbane,Badu Island,Australia,Oceania,AU,7730854,Badu Island Airport,Badu Island Airport,"BDD,YBAU",4.0,36960.0,-10.150039999999999,142.17476000000002,0.3726249721108437,,
75,Belmont,YPEC,-33.033333,151.66666999999998,Australia/Sydney,Newcastle,Australia,Oceania,AU,7668757,Aeropelican Airport,Aeropelican Airport,"BEO,YPEC",2.0,14650.0,-33.0667,151.64799,4.098430010336862,,
76,Williamtown,YWLM,-32.804592,151.84006000000002,Australia/Sydney,Newcastle,Australia,Oceania,AU,7910156,Newcastle Airport,Newcastle Airport,"NTL,Newcastle Airport,RAAF Base Williamtown,YWLM",2.0,16400.0,-32.79564,151.83449,1.123339780253445,,
77,Bedourie,YBIE,-24.23,139.445,Australia/Brisbane,Bedourie,Australia,Oceania,AU,7730242,Bedourie Airport,Bedourie Airport,"BEU,YBIE",4.0,32750.0,-24.3461,139.46001,12.999076793782711,,
78,Broken Hill,YBHI,-31.998983000000003,141.46857,Australia/Broken_Hill,Broken Hill,Australia,Oceania,AU,7668685,Broken Hill Airport,Broken Hill Airport,"BHQ,YBHI",2.0,11250.0,-32.0014,141.472,0.42053209037331113,,
79,Raglan,YBTH,-33.41387,149.65518,Australia/Sydney,Bathurst,Australia,Oceania,AU,7730002,Bathurst Airport,Bathurst Airport,"BHS,YBTH",2.0,10470.0,-33.40802,149.65138000000002,0.7399631574421096,,
80,Blackall,YBCK,-24.434168,145.42833000000002,Australia/Brisbane,Blackall,Australia,Oceania,AU,7668684,Blackall Airport,Blackall Airport,"BKQ,Blackall Airport,YBCK",4.0,30760.0,-24.4298,145.43319,0.6913642015977238,,
81,Benalla,YBLA,-36.55,145.98334,Australia/Melbourne,Benalla,Australia,Oceania,AU,7668687,Benalla Airport,Benalla Airport,"BLN,YBLA",7.0,21010.0,-36.5519,146.007,2.123988515364146,,
82,Bollon,YBLL,-28.05,147.48334,Australia/Brisbane,Bollon,Australia,Oceania,AU,7730869,Bollon Airport,Bollon Airport,"BLS,YBLL",4.0,30300.0,-28.0583,147.483,0.9235220396822611,,
83,Blackwater,YBTR,-23.602184,148.8084,Australia/Brisbane,Blackwater,Australia,Oceania,AU,7668693,Blackwater Airport,Blackwater Airport,"BLT,YBTR",4.0,32270.0,-23.6031,148.80701000000002,0.17445281637856008,,
84,Broome,YBRM,-17.95264,122.23428999999999,Australia/Perth,Broome,Australia,Oceania,AU,6301303,Broome International Airport,Broome International Airport,"BME,YBRM",8.0,50980.0,-17.94881,122.22719,0.8633968647667624,,
85,Brampton Island,YBPI,-20.783333,149.23334,Australia/Brisbane,Brampton Island,Australia,Oceania,AU,7730872,Brampton Island Airport,Brampton Island Airport,"BMP,YBPI",4.0,34770.0,-20.805,149.28,5.415805662275712,,
