airport_key,airport,airport_icao,latitude,longitude,timezone,city,country,continent
174,Einasleigh,YEIN,-18.5,144.1,Australia/Brisbane,Einasleigh,Australia,Oceania
175,Elcho Island,YELD,-12.019817,135.5698,Australia/Darwin,Elcho Island,Australia,Oceania
176,Emerald,YEML,-23.56861,148.1744,Australia/Brisbane,Emerald,Australia,Oceania
177,Eneabba West,YEEB,-30.083332,114.98333,Australia/Perth,Eneabba West,Australia,Oceania
178,Esperance,YESP,-33.68248,121.83039,Australia/Perth,Esperance,Australia,Oceania
179,Ernabella,YERN,-26.283333,132.11667,Australia/Adelaide,Ernabella,Australia,Oceania
180,Etadunna,YEDA,-27.5,138.0,Australia/Adelaide,Etadunna,Australia,Oceania
181,Eucla,YECL,-31.716667,128.86667,Australia/Eucla,Eucla,Australia,Oceania
182,Eva Downs,YEVA,-18.016666,134.86667,Australia/Darwin,Eva Downs,Australia,Oceania
183,Evans Head,YEVD,-29.1,153.41667,Australia/Sydney,Evans Head,Australia,Oceania
184,Finke,YFNE,-25.566668,134.58333,Australia/Darwin,Finke,Australia,Oceania
185,Fitzroy Crossing,YFTZ,-18.178333,125.55417,Australia/Perth,Fitzroy Crossing,Australia,Oceania
186,Flinders Island,YFLI,-40.095,147.99667,Australia/Hobart,Flinders Island,Australia,Oceania
187,Forrest,YPFT,-30.816668,128.05,Australia/Perth,Forrest,Australia,Oceania
188,Forster,YFST,-32.183334,151.51666,Australia/Sydney,Forster,Australia,Oceania
189,Forbes,YFBS,-33.4,148.05,Australia/Sydney,Forbes,Australia,Oceania
190,Gayndah,YGAY,-25.433332,151.48334,Australia/Brisbane,Gayndah,Australia,Oceania
191,Gibb River,YGIB,-15.65,126.63333,Australia/Perth,Gibb River,Australia,Oceania
192,Gordon Downs,YGDN,-18.716667,128.55,Australia/Perth,Gordon Downs,Australia,Oceania
193,George Town,YGTO,-18.283333,143.55,Australia/Hobart,George Town,Australia,Oceania
194,Geraldton,YGEL,-28.796078,114.70205,Australia/Perth,Geraldton,Australia,Oceania
195,Geelong,YGLG,-38.13333,144.35,Australia/Melbourne,Geelong,Australia,Oceania
196,Griffith,YGTH,-34.255432,146.0627,Australia/Sydney,Griffith,Australia,Oceania
197,Grafton,YGFN,-29.759521,153.02834,Australia/Sydney,Grafton,Australia,Oceania
198,Gregory Downs,YGDS,-18.633333,139.23334,Australia/Brisbane,Gregory Downs,Australia,Oceania
199,Boigu Island,YBOI,-9.233333,142.21666,Australia/Brisbane,Boigu Island,Australia,Oceania
200,Glengyle,YGLE,-24.816668,139.6,Australia/Brisbane,Glengyle,Australia,Oceania
201,Glen Innes,YGLI,-29.676666,151.69083,Australia/Sydney,Glen Innes,Australia,Oceania
202,Glenormiston,YGLO,-22.916668,138.83333,Australia/Brisbane,Glenormiston,Australia,Oceania
203,Gladstone,YGLA,-23.87147,151.22351,Australia/Brisbane,Gladstone,Australia,Oceania
204,Goondiwindi,YGDI,-28.524445,150.31944,Australia/Brisbane,Goondiwindi,Australia,Oceania
205,Nhulunbuy,YPGV,-12.269595,136.82265,Australia/Darwin,Gove,Australia,Oceania
206,Garden Point,YGPT,-11.766667,130.01666,Australia/Darwin,Garden Point,Australia,Oceania
207,Mount Gunson,YMGN,-31.666668,137.76666,Australia/Adelaide,Mount Gunson,Australia,Oceania
208,Alyangula,YGTE,-13.973887,136.46002,Australia/Darwin,Groote Eylandt,Australia,Oceania
209,Granites,YGDW,-26.966667,133.61667,Australia/Darwin,Granites,Australia,Oceania
210,Georgetown,YGTN,-18.416668,143.78334,Australia/Brisbane,Georgetown,Australia,Oceania
211,Gunnedah,YGDH,-30.95,150.23334,Australia/Sydney,Gunnedah,Australia,Oceania
212,Goulburn,YGLB,-34.75,149.71666,Australia/Sydney,Goulburn,Australia,Oceania
213,Greenvale,YGNV,-15.783333,144.61667,Australia/Brisbane,Greenvale,Australia,Oceania
214,Argyle,YARG,-16.333332,128.66667,Australia/Perth,Argyle,Australia,Oceania
215,Gympie,YGYM,-26.183332,152.63333,Australia/Brisbane,Gympie,Australia,Oceania
216,Hobart,YMHB,-42.837257,147.50519,Australia/Hobart,Hobart,Australia,Oceania
217,Halls Creek,YHLC,-18.233334,127.666664,Australia/Perth,Halls Creek,Australia,Oceania
218,Hughenden,YHUG,-20.81889,144.22444,Australia/Brisbane,Hughenden,Australia,Oceania
219,Horn Island,YHID,-10.583333,142.28334,Australia/Brisbane,Horn Island,Australia,Oceania
220,Headingly,YHDY,-21.316668,138.28334,Australia/Brisbane,Headingly,Australia,Oceania
221,Hayman Island,YHYN,-20.066668,148.86667,Australia/Lindeman,Hayman Island,Australia,Oceania
222,St Helens,YSTH,-41.266666,148.25,Australia/Hobart,St Helens,Australia,Oceania
223,Hamilton,YHML,-37.65,142.06056,Australia/Melbourne,Hamilton,Australia,Oceania
224,Hermannsburg,YHMB,-23.95,132.75,Australia/Darwin,Hermannsburg,Australia,Oceania
225,Hooker Creek,YHOO,-18.335,130.6325,Australia/Darwin,Hooker Creek,Australia,Oceania
226,Horsham,YHSM,-36.666668,142.16667,Australia/Melbourne,Horsham,Australia,Oceania
227,Hamilton Island,YBHM,-20.35175,148.94847,Australia/Lindeman,Hamilton Island,Australia,Oceania
228,Hopetoun,YHPN,-35.7,142.36667,Australia/Melbourne,Hopetoun,Australia,Oceania
229,Humbert River,YHBR,-16.5,130.75,Australia/Darwin,Humbert River,Australia,Oceania
230,Hervey Bay,YHBA,-25.319868,152.88521,Australia/Brisbane,Hervey Bay,Australia,Oceania
231,Wilpena Pound,YHAW,-31.716667,138.41667,Australia/Adelaide,Hawker,Australia,Oceania
232,Hay,YHAY,-34.516666,144.83333,Australia/Sydney,Hay,Australia,Oceania
233,Indulkana,YIDK,-26.966667,133.325,Australia/Adelaide,Indulkana,Australia,Oceania
234,Iffley,YIFY,-18.9,141.21666,Australia/Brisbane,Iffley,Australia,Oceania
235,Innisfail,YIFL,-17.55,146.01666,Australia/Brisbane,Innisfail,Australia,Oceania
236,Ingham,YIGM,-18.716667,146.16667,Australia/Brisbane,Ingham,Australia,Oceania
237,Inkerman,YIKM,-16.25,141.5,Australia/Brisbane,Inkerman,Australia,Oceania
238,Injune,KINJ,-25.883333,148.53334,Australia/Brisbane,Injune,Australia,Oceania
239,Innamincka,YINN,-27.75,140.73334,Australia/Adelaide,Innamincka,Australia,Oceania
240,Lockhart River,YLHR,-12.788889,143.3125,Australia/Brisbane,Lockhart River,Australia,Oceania
241,Mount Isa,YBMA,-20.667637,139.49179,Australia/Brisbane,Mount Isa,Australia,Oceania
242,Isisford,YISF,-24.263332,144.42334,Australia/Brisbane,Isisford,Australia,Oceania
243,Inverell,YIVL,-29.883896,151.14056,Australia/Sydney,Inverell,Australia,Oceania
244,Inverway,YINW,-17.833332,129.63333,Australia/Darwin,Inverway,Australia,Oceania
245,Jabiru,YJAB,-12.659722,132.89194,Australia/Darwin,Jabiru,Australia,Oceania
246,Jandakot,YPJT,-32.083332,115.88333,Australia/Perth,Perth,Australia,Oceania
247,Perth International,YPPH,-31.933603,115.960236,Australia/Perth,Perth,Australia,Oceania
248,Julia Creek,YJLC,-20.583332,141.7,Australia/Brisbane,Julia Creek,Australia,Oceania
249,Jundah,YJDA,-24.833332,143.06667,Australia/Brisbane,Jundah,Australia,Oceania
250,Jurien Bay,YJNB,-30.266666,115.05,Australia/Perth,Jurien Bay,Australia,Oceania
251,Kalbarri,YKBR,-27.866667,114.13333,Australia/Perth,Kalbarri,Australia,Oceania
252,Kirkimbie,YKIR,-17.766666,129.21666,Australia/Darwin,Kirkimbie,Australia,Oceania
253,Kings Canyon,YKCA,-24.25,131.49445,Australia/Darwin,Kings Canyon,Australia,Oceania
254,Collinsville,YCSV,-20.55,147.86667,Australia/Brisbane,Collinsville,Australia,Oceania
255,Kings Creek Station,YKCS,-24.383333,131.68333,Australia/Darwin,Kings Creek Station,Australia,Oceania
256,Kalkurung,YKKG,-17.433332,130.81667,Australia/Darwin,Kalkurung,Australia,Oceania
257,Kingscote,YKSC,-35.709305,137.52332,Australia/Adelaide,Kingscote,Australia,Oceania
258,Kalgoorlie,YPKG,-30.785246,121.45792,Australia/Perth,Kalgoorlie,Australia,Oceania
259,Kingaroy,YKRY,-26.55,151.83333,Australia/Brisbane,Kingaroy,Australia,Oceania
260,Koolburra,YKLB,-15.583333,143.95,Australia/Brisbane,Koolburra,Australia,Oceania
261,Kamileroi,YKML,-19.366667,140.05,Australia/Brisbane,Kamileroi,Australia,Oceania
262,Katanning,YKNG,-33.7,117.55,Australia/Perth,Katanning,Australia,Oceania
263,King Island,YKII,-39.879776,143.88168,Australia/Currie,King Island,Australia,Oceania
264,Kununurra,YPKU,-15.784031,128.71268,Australia/Perth,Kununurra,Australia,Oceania
265,Kempsey,YKMP,-31.083332,152.76666,Australia/Sydney,Kempsey,Australia,Oceania
